7279	7ea3	98fa	c23f	06f7	9f60	c446	d395	8ad3	e0b0	edeb	0623	464d	920d	88e0	33d3
afe2	74c5	4e55	c749	891b	d463	cb0c	ef69	7e0e	c1df	c132	fec8	3e70	3a3a	d06c	9f7e
20f6	0581	a9d6	9273	093a	8f04	609d	deba	3fbe	7ece	8d9a	ad9c	3261	6ffc	eb50	7675
f1e0	60ac	40ba	4261	10ac	1257	08c9	c94a	8965	74ef	f1ee	ddd8	df8e	19bb	b5ac	d14c
9bd0	1b11	228f	632b	0b6e	e62d	ba94	aec5	f467	8197	6120	0459	9f16	2f0a	bea8	f88e
e645	12d7	0b02	cf01	edd9	5d5a	93e7	0ffc	2f6c	c638	94a6	d29f	0337	c050	234b	ba4d
9bf2	152a	4e4f	eeb3	10ce	8070	9ed6	7203	48e6	82ff	ee7c	74bd	6dd2	b9f4	e071	b256
34c1	8233	df05	42c1	876f	95a8	fc52	b00c	bf6b	d43a	f63e	75b9	e3a5	bd80	6c08	cb53
5d97	dca8	af92	f51d	e58a	5491	17ee	c2b9	333e	4bde	c3dc	238c	c19a	293d	5b11	bafa
2f13	85af	33c8	e408	93f4	a80f	d307	af68	367a	76f9	845f	26bc	aa59	1d74	516b	7d65
013b	2303	236a	d6f4	c0c1	e5a2	1670	ef57	35d8	5cd6	6f74	7bf1	f38c	dbaa	0ab1	4514
7d0b	bd44	b4ab	010b	29a4	0912	0609	4e63	caf9	5207	9ae5	87cd	830b	436c	ab5e	4fc3
0371	5efc	6be1	99f7	85ff	0f96	247e	0843	7b4c	e989	1716	e69a	a7ed	65d6	3fd4	5c49
1328	95ca	e715	d915	fa7c	997a	a53f	ee69	3885	b696	431a	fd1e	26f1	402a	2feb	112b
02b0	eb22	3378	fb0b	1b28	ef5b	88b6	3c9f	7843	37f8	6c03	6368	a885	9a57	ae01	53b6
e181	a65e	0b77	c0ae	05a1	6d57	0d73	c2ea	e6dc	cb29	43be	4da2	9273	e33e	2b00	11e9
e2b2	5bff	a8c0	9d97	2d57	784c	0aca	80f3	e428	bee0	b034	bf69	6a4a	e2a8	cb96	44b1
f8bd	3405	3c04	0629	b575	b5b8	c702	9062	9c11	f0ca	0048	f8a2	f840	fc55	1c76	266c
2f86	e3bd	261f	fcd8	a74b	c6b3	46c9	f23a	9107	9bfd	d9bb	3970	678a	0121	99a7	db0b
ebbe	0a65	451a	24ab	0efe	2c35	ec83	787a	8d7d	e5a6	36a9	b5f0	8c8c	709c	e3cc	b545
3040	2695	ca99	f660	2ed0	3378	5f32	5ef2	3679	834e	3020	627d	0192	273f	1126	d98c
a5c4	3ad2	dccd	d832	4f63	f930	5ec3	68d2	0c2f	8863	a93f	33a0	9a78	817a	9ea1	8ccd
b40b	757a	dcca	b638	aff7	428d	41a9	a42c	7c6a	5cc6	d1b4	dde1	d513	52c2	5860	2900
8123	3636	62fd	d73f	b4df	9d00	654f	305d	6356	6f23	e38d	6072	c7e8	753e	fed7	5392
38af	bcb7	f118	8aa0	504c	905c	3ce5	68e2	a6cb	16c4	99e1	e318	8e56	f845	b0e2	801d
599f	5ec9	7302	0179	3fca	596a	8a73	9424	59f4	f4b4	1fc5	1a15	b61e	c7d8	bcbb	29f6
63ac	b0e5	a608	a8a6	3b14	a0aa	33ac	9878	12d3	ddf0	9330	6c26	e848	3aff	986b	86ae
0338	4cfa	df90	342e	de07	aa08	a26a	78be	251f	7b5e	ace9	1879	7f80	1ff0	f4ac	046b
1981	926f	e5c1	a900	f0d6	3bbd	ce09	e192	31bc	2768	777a	f94c	96a4	deb1	e61d	79fb
a014	977e	a85a	dd44	4963	6337	c0e0	bdd3	7a9b	c0e1	e4ee	02c9	9a98	8a37	ce85	bacb
fa30	2f49	aa73	0cea	fb72	6a71	6b00	5292	e4b8	7d37	f906	fb69	144d	2489	c1fb	d44f
0d52	dab7	c2f1	98dc	323c	63b3	ff50	a1b2	935b	4049	c872	df6b	1a88	5b9e	93b4	eb81
3ed2	f0be	fd1b	769d	4db1	dab0	0811	06e8	6fcc	e9c7	f078	b33f	cd6c	bed4	5721	930d
81d6	ea2a	fad1	9037	12fc	fdbc	3e01	8e6b	9a87	fff5	45cf	9af3	b32c	f803	4e05	8fc8
19a5	8aaf	3d84	81e7	bdb7	33b3	c049	75fc	e4a3	bdcf	c676	5bc1	4182	0358	6542	bafa
304d	51f0	2e4d	6874	1e5e	0f0e	43e2	8109	d1eb	0214	6bdd	0c72	ab1a	ee76	de43	fb1f
7cb4	64d2	651e	d4cb	1b0c	0410	e052	ac6e	6634	6220	d0bc	60d7	e439	7055	1fb4	b698
8d4d	a7dc	f589	fdc4	3ef2	dce6	2d4b	9a3b	c59a	dd23	dec4	0f23	1b71	b513	316b	de6d
11e9	c3ef	6e24	8e58	416a	35c6	afca	6ee3	f3bc	088d	9b9d	158e	c049	5840	b182	2cbb
5ac2	697a	1d0e	9b4a	fbe2	9459	7601	8671	1529	c4b7	a76d	0ab6	0e64	e17e	d1c1	e768
4837	bcf2	6b65	3188	81ba	0d17	bd78	5f6d	ab00	5a25	5edd	8a9f	9129	6f84	4678	49d5
21b6	5fc7	2475	b959	e85d	870c	a52e	64dc	f274	b7f9	dcf3	ce86	a773	bb43	461a	5a02
44fd	c2d8	28f5	5271	dbb2	f19e	b8b8	a4ed	dc9f	5e9d	7a8e	f554	0afd	897f	8641	c67c
f059	986d	411c	b773	789c	8246	cd59	ecf7	f6d9	f6b3	cdb0	aa27	eeda	5891	fa91	abcb
0e1b	9e2b	0567	dddc	229a	8e17	1f55	62c3	54d5	47bd	7b5c	afe6	fb80	cddc	32a7	8d0b
bc16	9e6d	ac07	44ee	87db	1c0e	7f27	50fa	d68c	ba14	c878	d6aa	0e5d	e898	dfef	173f
aa0c	7212	bbdf	fd8f	8280	4c25	0300	d5be	7cb9	5d59	5a2e	2742	1066	1a89	4227	7ea4
3499	6204	0021	7a4e	202b	1ab4	5edf	8c07	6ec2	0c93	778c	593b	a078	405a	b705	71b1
8a48	5272	ead0	6c5d	9cfc	727c	e318	0102	7816	2918	f06b	77f1	f809	8511	1544	84ec
b410	055f	3f8a	b0d0	f1ca	ee0c	441c	79b0	50a0	1771	d18a	35bc	b648	1d73	d264	226b
c20b	be68	945a	cc51	129c	b0fd	78de	622d	f770	e3cc	fd83	1b87	530f	0746	8793	5fff
0a47	2fbf	1966	86b2	8c30	2cb2	6914	c7c9	dba2	f2f9	f0d7	0e21	0acc	a75c	6d55	e4ef
d3ae	a4d8	4846	1996	a1a1	3927	0592	d6e3	c1b3	7137	e7c4	5074	8c04	5164	8bc7	6b4e
1240	800c	0501	c96e	bef5	fec2	1e15	a1b3	ecf6	b903	783d	8661	7d49	8e32	e210	cceb
1ba2	b4b2	2ffd	c013	0c84	1a43	cba6	dd4a	5061	9c16	d7d8	dce0	9b43	7e07	5b99	89fe
0434	7103	2a58	816c	80a8	5790	3ec3	0f22	78e2	dda3	fe7c	7493	45ef	f6f3	a603	bff6
28c8	8e83	59a3	9e7e	7fda	bb11	f51b	6f7a	4ddd	2ec2	2c07	20fb	0d5d	5ef3	751c	d421
adbb	505a	54db	162e	a993	aaa6	bab4	ea3b	1ed5	f1f7	833d	aeaf	57c7	8b2a	9249	52d5
1548	fe74	ce32	c8e5	a727	1b27	b41b	416c	6ff0	cbb3	8be5	22e1	ccd4	56ea	882e	b58c
5baf	a1c1	93a7	a64f	4430	9fe0	8387	112f	b18e	16c3	a5df	a3b4	2049	43d0	3951	9e9a
cdaf	b396	5dce	5601	e4ad	b956	fd7c	6fba	4d97	b389	4255	50b4	15a3	51f9	9a79	8695
dffd	ffdc	9b49	33d0	ceb2	9df9	e6e4	14df	ad99	fcfd	c009	7016	2a41	39ed	87c5	f76f
4c2b	a2e9	4a25	7c8a	c425	db73	c697	57b6	1101	0e52	22ff	cc9f	856c	42d3	4271	2ae8
9fbf	09b0	a262	a532	3942	3c8c	5aa6	d3b3	f1b5	bd9e	38c1	5a21	3144	a2b1	fcae	2d31
7241	fa7d	7356	0205	401d	5803	e817	1ec5	13b8	54d9	412f	4379	121a	e222	eb73	bf4b
c416	5916	d677	0153	e3a9	1862	f490	6e7a	2b21	cdcc	8310	f981	073a	c851	2085	d5c6
c29d	a288	6d52	f2bf	95d0	ff69	c2f6	ab7d	b3b0	2d55	7206	88f6	0de2	3d9e	a75c	a26d
b75a	1147	b00b	3402	c509	adb8	63c6	7078	f391	2242	b62f	1076	c4ed	bad9	23a6	b204
b2f9	d038	e216	36a2	976c	f621	0069	157c	087e	b3e1	6dab	f077	cbd4	bd46	e7f5	d905
215a	38ed	bb88	a36a	14a3	627e	4248	282e	7e8f	41b0	a819	680b	d61f	d984	35ce	c545
ee80	ede6	7744	842e	d8ed	e49b	5542	f729	43af	b1c0	7cda	738f	2f0d	6e80	5f6b	b214
bc37	61cb	ab61	c8a3	860b	b616	0a62	a905	a021	7dfb	32b8	50a0	f18c	59ca	9941	1714
2ecd	48a6	c9e7	3034	4bb8	d0ef	ad79	d532	7eae	e268	c025	127e	2936	9c9f	ffb4	95b9
4524	31ba	adb1	705d	3388	283f	7ea4	3091	da6d	03a9	b2ba	da6b	17a7	405a	eba4	7d28
05d7	37c4	d8c9	1f2c	70bd	cf90	7d1d	b860	239b	f96c	cbf4	2589	bd0e	0a4a	8f5d	1a12
d828	df09	7896	fa89	2d59	6623	7c66	bec4	e756	a5b9	4f41	f323	a21a	0f92	6572	542f
9ab8	0323	1afa	a43d	fb62	82ae	b33a	6fc5	b84d	5e81	0d5c	001a	49de	2692	d823	4c5d
f18a	cc41	589c	012a	485c	1f40	e9f1	a68a	4212	3f99	925d	a6d1	ec1b	7878	b085	05f4
399e	d1d6	10b7	638d	0f22	479a	e8b8	23d5	841f	5d20	77f7	1eb5	49eb	d5a4	a999	6bf4
54e8	295d	c56a	f406	289a	d6e1	85f9	17af	5472	f70b	2599	e044	6ebc	6e0c	4353	b816
7764	bef0	416e	1f6f	8de9	6e7a	41d0	9565	f50f	1a9a	6258	f475	cb4c	95be	ab58	eaf8
b75e	4925	b4f9	60db	53c2	92ff	c941	6fc8	ef30	9d75	6193	2659	9204	02c8	9454	57bb
4306	f031	5399	0ad8	766f	9cc4	3fa1	02ad	c055	3429	33f3	89de	20e8	53e6	12a5	ef6d
0bb0	99f5	2956	a604	a9ac	4f47	3200	2f41	0d87	ff94	0edc	71d3	909c	c813	3105	fb4c
5668	3d12	4907	5c04	95a0	2c2c	8a60	1924	a2fa	bd95	112b	f239	724e	73c6	8e5c	2e5e
f449	2019	73fd	c12a	aa88	bcc2	0711	09d2	9a9e	1db1	bb46	5e92	7ab8	b37a	5d44	f127
8c84	8c22	05bb	1624	c426	29e3	2852	ed06	4feb	cce0	51a7	15c8	10fc	3767	adbf	79ef
8f41	e329	2ff4	d8b8	6e1a	4707	4952	1e8f	57e2	72e8	cc8c	3f30	1a6f	7ff9	a376	0d66
d07a	2980	f5ae	79c6	2bda	797c	40f7	41f7	4c27	5bb8	d305	dfbc	7202	3c74	4642	03db
addf	5f1c	526b	aff7	06c8	46f5	43b3	a432	36cd	8b5d	7fcf	7d63	f5f9	aca4	1813	ea67
4d3d	7866	0c5c	60f1	f7fa	3444	dd84	a739	749c	161d	e359	4e93	1a47	e2e7	b3d2	b659
e528	323f	d786	1739	2079	0d82	401d	0552	49d9	5603	f797	5728	83f9	aeeb	96b1	2d55
cee8	6e7d	1668	169b	4221	c779	eaae	ef0d	d282	aa60	5863	890c	7598	d0cb	1acb	4b69
61e3	14e6	7403	9f7f	21f0	cb96	2672	9bc8	3840	f576	8866	4304	f6bb	cf78	6995	e63e
12e2	c4fe	6fb9	1ac7	3d9e	2931	671c	9e43	0ab0	a188	8a93	394d	ba74	ec94	e333	a3cd
6850	b551	aa84	5962	5829	c45b	168a	2ed1	8999	01ce	74ce	0857	3099	0393	5451	a143
acf5	0e97	c0f1	b5f0	d06e	eb4e	a09d	0cae	2a1e	3f3d	1117	caec	5db5	1e64	53d8	ef4a
7a71	d5c0	8664	e2b3	4455	83ab	67fe	ba41	ac28	640a	b4ca	aa3b	b89a	3958	158f	c379
b5c8	60a6	16a1	9afe	9c98	8bb6	fc0e	e9c8	f117	cc06	2b7c	c917	e75c	9cab	77f2	45db
c5f3	31ff	01af	771b	76d9	384a	3c67	1c03	aa4f	ef10	2a96	ecb9	a508	aeff	d13b	68ff
84cb	62b5	55f4	1b7a	8ca0	13a1	0ea1	cae6	75fd	3866	15e8	527a	de59	3a73	09a1	7234
aafb	1db2	77bc	2808	c1ea	2287	23cf	8735	e15d	9142	bf59	f3ac	3000	994a	4400	a68d
f539	b06d	6e66	a9ab	19f6	8e20	4f9a	582c	0803	a23b	6776	6f3b	6604	6ec6	1797	225f
6a4f	3c1b	4777	d4b1	e32a	e0c5	6e1b	534e	4ea8	9260	95b3	45e2	af6c	da2e	3410	42fd
3124	4685	0b00	fa27	dda8	3153	5d1d	7e16	0b29	c639	1074	892a	23f7	c108	4665	45d1
c0ff	43fa	676c	1201	7db9	41c2	bc7a	282e	7e6d	5493	3360	913c	1b5a	5aa0	7943	6f27
2f06	55a3	de06	74a4	e0c3	ea01	e692	52d5	707a	8234	8872	e9f0	5f55	3710	11fb	0a72
a49f	52ff	7b72	eaa2	0135	8fa6	8283	7509	ef56	2d4a	4f9e	c7e7	dc6b	d28a	9cd4	3524
881e	5183	acab	3371	3826	1498	72ed	06c2	6f9d	2e96	bd94	8365	db0c	6248	01c2	ffac
044c	9d7c	e9bd	639b	0816	4f1d	d94f	26e0	54e8	d087	9e1b	73ff	2e43	0f14	a40b	1741
4f2e	0970	749f	4ab4	6f71	fe62	eb9b	8ce3	3a24	d132	99da	359d	8136	34f3	6ea0	9b74
bfd0	512f	0982	f87e	f687	d3c0	667a	8355	e1f0	0df0	266b	6f35	5e65	328a	6ab9	b2fe
34e8	1396	c058	0d11	4276	3a5a	8ac2	eb6e	ad9d	80b8	5ea4	3541	abbe	5e38	338d	61bb
1ce4	17c3	b98a	1b20	b556	cf41	64a8	c0da	d35a	5376	308d	600d	c23b	0848	eecf	3258
39f2	49b3	17ee	e283	f63c	15cd	a7c2	3f3f	fe91	cfbd	a2fc	cf47	8459	0b1e	3167	4b20
bbbd	2245	8f17	f324	776a	dd06	9b09	ce66	cb5f	ceb1	9830	6a2f	4777	095d	7ed1	1a27
63fe	2218	4a41	6982	b5d5	9a3f	4e3c	4ce7	c19a	9d4e	87af	5179	0137	65e7	878d	cb24
153e	6293	bd54	272b	0235	1fa9	52db	e951	ce5b	c540	4d62	d7c6	6119	3b49	1932	c4e6
5122	0dd5	dabe	dc74	008a	5d10	41c7	ef39	c465	3b3d	7664	a2f8	d6b9	177c	a6b1	60f4
e3a8	1340	e2f8	0cec	f77b	9498	ec17	fa15	ac3a	8940	ac85	6b8f	e5bb	a3f9	482d	e0c7
e1ed	a60c	5211	fd7e	8073	4754	b485	8b95	f186	f5c9	181f	8528	83c9	4496	c98f	b194
7688	83e7	d9ee	4cff	8da4	5146	962e	222a	6e1f	3e64	5355	7f7a	2b0a	81cf	d919	ee56
1af4	063a	5f90	b7da	06a4	27f6	975c	7855	2e52	57aa	8cad	5d4c	72ed	8c8d	1937	ac53
47a9	9c2a	d3ed	875c	2fde	edb5	77f1	8c03	ff85	5a05	352a	381a	0079	75b9	9d33	1cab
a17b	6fc9	8789	d46f	e37f	b3c6	1d80	29e6	cc51	e409	4890	c066	be84	711a	a9b4	ffce
4f8e	f8b2	9b4c	07dc	a66c	7516	b65b	d25a	7c52	3a80	655b	48ee	1e7d	56a3	6fe0	bb40
fc21	811a	3377	2413	7889	ef4c	685f	e4d3	d2ae	ed85	c1b5	b199	1ae7	d059	dbb0	0ee0
337b	bc39	9a00	82ad	6449	3728	d732	c9de	3227	d4fa	72d9	37b0	4a75	5f68	573b	8a47
9826	c0c6	2c90	cbfd	567a	cff3	d7c0	5985	dee9	436f	ad5e	3824	163b	8ba4	03fb	fecd
c910	6214	8e34	5e0c	2db2	22fd	3550	5357	e31f	20fb	a3db	d57d	6adf	f5a1	0ebc	64b8
316d	c78b	1fd3	c35d	13cd	d4fd	3a95	7a1c	a09d	1cd9	0da1	d636	ca10	5751	4c85	87e6
da78	b156	6699	1b2e	ae34	473e	cdfc	83ad	5ad8	dff1	3336	7577	04b1	8f22	a27e	a2c9
68a2	0e37	7138	4d90	80fb	245c	4220	b8c9	5af3	1b42	ca36	0a06	b1eb	edd1	3a95	2626
04ff	0495	99a7	a97c	c345	adbe	e2df	3e98	d9cb	62a9	30eb	baad	322d	dd47	49e4	6f9c
a661	0f1d	e881	bef4	5a5c	ce5c	4bd0	27ca	93c7	5c9f	5d84	811e	f8b4	cb1c	1a63	7d4e
354d	a625	859e	693b	e4c3	6400	d930	f075	cb43	440d	35b8	773f	c16b	28c5	e8f4	80af
c336	3af3	b7b3	dc83	9971	4aaf	d7a1	7530	c107	621e	bb7c	fc07	cb4b	fc27	d551	a529
8660	264e	e9d2	ce80	a4e6	f2a5	b591	cfb1	496a	4049	f944	f6ad	91a5	1f17	fa20	b4b2
d2e4	3261	145b	1ca8	9c4a	8a36	78e8	4437	84c1	b7c9	759e	bcc5	0cde	58b7	a18e	3eb1
ab37	6e80	d749	f750	851d	4754	b8d7	16fc	127d	f111	8312	a4d8	2209	447e	4338	461e
ff4c	2b92	470a	c92b	c242	5bef	041d	0a9d	dcfc	5a9f	6de0	b7bb	b42a	7b71	902e	a101
a710	eb13	1b11	4040	c4bf	4bc3	8b2a	acb2	a26c	706d	f7ff	0600	4dc9	daac	bb49	1391
37ad	0d32	9442	6704	edf7	fc1d	19e7	3e4b	0150	4e79	781b	f682	8070	e9a8	6dab	757f
fa54	769e	44da	243f	f588	9d42	ce29	866f	2ecc	d5cb	be3a	d8c6	26a2	756f	2bc1	109e
34cb	6b54	8f30	e503	a326	be0c	e340	a217	8287	f209	b36e	b977	2706	4114	f872	2968
ecd5	9ad7	47d7	d2c5	1536	ce42	7c8b	0baa	0dae	2988	15f3	02c6	8085	0795	9989	8726
e19c	850b	fa7f	f337	f4ea	e003	5baa	f089	10a2	e8ca	62c5	3ad6	8471	3bc1	6a86	61a2
b99d	c6a5	ae4e	b2e3	f893	ab42	ab23	cd65	3f29	ea64	b15b	4e3f	b80f	5472	1c8b	1760
f703	3491	2685	6e4d	a262	7eaf	c419	7819	5c72	5644	8eb6	3ac2	91e9	a33a	3dc9	de01
cb15	f16b	6c8c	3438	fedf	afc6	7956	6ddd	2524	d9b9	193e	51ec	7806	bea8	ad1c	72d4
2a43	ed4f	4568	1031	4ee1	5bf5	6e5f	8a2e	49e3	637f	8270	dd50	00cf	b1f7	534d	17ee
c6ca	c99a	f315	b22b	3808	d65b	155a	fa9e	c3f7	5cb9	ae3d	9ae6	5241	c26b	5556	4fb8
fa9a	e525	74e8	6cc6	cbb0	2f08	e119	cf25	5e4b	f368	bdab	0f5f	adf7	5fc1	c5ea	2178
d4a8	363a	76f3	f149	03eb	14d2	0069	5a48	314d	5887	c283	3de3	a17d	3a00	0059	844d
f621	c5a0	3662	089e	3a57	7275	acd2	5399	83c5	f75c	660f	46bf	a5d0	1413	a1f6	4c90
7338	2ccf	10ce	d8b7	ea4e	c28d	3982	ebf3	e1ec	96d5	01f7	6341	7190	26fa	caac	24a9
58d7	8ece	28d5	68a8	031b	92b4	d0b2	64ed	19d9	eace	cd96	ef1e	0586	af68	d7f7	d3b5
b913	5440	b62c	e737	1dad	a200	4508	230f	4168	2fc3	c6dc	a321	ce59	2d06	8a04	48a3
9b56	c0b8	deac	9f15	9ab5	f1e4	ad38	6399	2182	567b	b01a	4afa	3e8b	22a2	4603	823e
756b	2000	b08c	42f1	3548	9a67	4287	ce87	8656	38ed	1c03	2b4d	365e	2d3c	b541	8e3d
85ae	4849	8e0d	3492	44a0	963d	8e04	a78d	c4c0	1691	3e43	2555	d11b	cbb4	a252	7929
48c4	78ee	c156	bf3e	7cb9	2a5a	3328	c28c	9839	6cf2	f13e	07b8	a7c4	e4bb	79f3	e3a1
1fa2	d625	0210	363c	4854	61b8	32e8	2b50	e8be	72c6	e822	7b33	4a18	b97a	840c	fbcb
909f	b12b	8d53	933a	f005	ad9a	3042	35b3	724a	362b	fd34	e77a	b517	f860	6a36	dc13
54ec	f242	91da	cb28	0c0f	c098	6ffd	6806	48d4	530a	5fa0	2279	41d9	91d7	45ab	b3d3
7f42	9d1f	1ca0	876f	0dd9	6bbc	fdc0	c480	1073	bdec	608b	cb1d	4b41	e58d	e626	8877
2183	28e2	1b36	bd1a	5938	6717	741b	32f0	1422	b50b	12a6	f23f	baee	783a	675f	f58f
761f	c064	0d3b	b465	0d7c	7764	12e8	fda1	ff7c	24a7	57b2	1a2b	08fc	6176	ee3c	6172
58b8	cb77	a7d9	a5c2	a1da	6629	c56b	be17	9f53	a6f5	d599	67f0	b17a	1787	25b5	8e18
7981	3634	d22f	1298	44d7	01d9	f77f	d56f	0b47	8a37	5332	19bd	47ea	c579	14ec	22ac
a5d1	5a4d	77b2	fffb	96b9	d8b1	33ab	76ff	1d56	0972	84aa	c6e8	7eaf	58f6	1ad0	23cb
754c	2a59	066d	f81c	7292	ee83	f4a8	969a	a90c	cfe9	b8e9	1447	6030	5821	bda4	a672
19e5	28ba	e396	a407	7edf	c133	09d3	f6a3	4b88	1e6a	eeb8	6c85	c4e8	b9fc	9da9	630f
507d	fb85	4f88	1e63	db5d	6471	eac5	a239	905b	2c54	5780	46dd	e904	e4f9	0263	312a
0c74	e4ba	9b17	b584	6938	95bc	774c	8a78	04c4	235d	581e	e1e0	ddae	3102	e6b8	d43c
c5b5	7d6e	744e	ee37	d19d	cab4	86d6	3830	f301	6f09	3c6a	9a68	61a2	dc6f	05e3	4d35
c112	f1c8	9cbc	38e1	f97c	cc28	22bd	9491	a522	ccb4	ad2e	44a3	e86e	f166	258e	50a5
f5e8	cf87	a530	1544	7f47	7ff1	ab3d	b4e2	f613	b6f4	6005	65cc	4ab4	2699	d284	8a44
